O*NET-SOC Code,Title,Element ID,Element Name,Importance,Importance_SE,Importance_LowerCI,Importance_UpperCI,Level,Level_SE,Level_LowerCI,Level_UpperCI,SkillScore
11-1011.00,Chief Executives,2.A.1.a,Reading Comprehension,4.12,0.125,3.88,4.37,4.62,0.183,4.2664,4.9836,54.4
11-1011.00,Chief Executives,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.75,0.1637,4.4292,5.0708,54.3
11-1011.00,Chief Executives,2.A.1.c,Writing,4.12,0.125,3.88,4.37,4.38,0.183,4.0164,4.7336,51.6
11-1011.00,Chief Executives,2.A.1.d,Speaking,4.25,0.1637,3.9292,4.5708,4.75,0.1637,4.4292,5.0708,57.7
11-1011.00,Chief Executives,2.A.1.e,Mathematics,3.25,0.25,2.76,3.74,3.5,0.2673,2.9762,4.0238,32.5
11-1011.00,Chief Executives,2.A.1.f,Science,1.62,0.183,1.2664,1.9836,0.75,0.25,0.26,1.24,3.5
11-1011.00,Chief Executives,2.A.2.a,Critical Thinking,4.38,0.183,4.0164,4.7336,4.75,0.1637,4.4292,5.0708,59.4
11-1011.00,Chief Executives,2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,4.5,0.189,4.1296,4.8704,48.2
11-1011.00,Chief Executives,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.75,0.1637,3.4292,4.0708,33.4
11-1011.00,Chief Executives,2.A.2.d,Monitoring,4.0,0.0,4.0,4.0,5.25,0.25,4.76,5.74,60.0
11-1011.03,Chief Sustainability Officers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.25,0.1637,3.9292,4.5708,48.6
11-1011.03,Chief Sustainability Officers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-1011.03,Chief Sustainability Officers,2.A.1.c,Writing,4.12,0.125,3.88,4.37,4.25,0.1637,3.9292,4.5708,50.0
11-1011.03,Chief Sustainability Officers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
11-1011.03,Chief Sustainability Officers,2.A.1.e,Mathematics,2.88,0.125,2.63,3.12,3.12,0.125,2.88,3.37,25.7
11-1011.03,Chief Sustainability Officers,2.A.1.f,Science,2.12,0.125,1.88,2.37,1.88,0.2266,1.4309,2.3191,11.4
11-1011.03,Chief Sustainability Officers,2.A.2.a,Critical Thinking,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
11-1011.03,Chief Sustainability Officers,2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
11-1011.03,Chief Sustainability Officers,2.A.2.c,Learning Strategies,3.38,0.183,3.0164,3.7336,3.75,0.1637,3.4292,4.0708,36.2
11-1011.03,Chief Sustainability Officers,2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
11-1021.00,General and Operations Managers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-1021.00,General and Operations Managers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
11-1021.00,General and Operations Managers,2.A.1.c,Writing,3.5,0.189,3.1296,3.8704,3.88,0.125,3.63,4.12,38.8
11-1021.00,General and Operations Managers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
11-1021.00,General and Operations Managers,2.A.1.e,Mathematics,2.62,0.183,2.2664,2.9836,2.75,0.25,2.26,3.24,20.6
11-1021.00,General and Operations Managers,2.A.1.f,Science,1.5,0.189,1.1296,1.8704,0.62,0.2631,0.1094,1.1406,2.7
