O*NET-SOC Code,Title,Description
15-1252.00,Software Developers,"Research, design, and develop computer and network software or specialized utility programs."
15-1251.00,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run."
15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns."
15-2051.00,Data Scientists,Develop and implement analytics applications to transform raw data into meaningful information using data-oriented programming and ML.
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports.
15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information."
15-1253.00,Software Quality Assurance Analysts and Testers,Develop and execute software tests to identify software problems and their causes.
15-1232.00,Computer User Support Specialists,Provide technical assistance to computer users and resolve technical support issues.
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization."
13-1071.00,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization."
13-1075.00,Labor Relations Specialists,"Resolve disputes between workers and managers, handle employee complaints and grievances."
13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements and audit compliance."
13-2051.00,Financial and Investment Analysts,"Conduct quantitative analyses of information involving financial data, valuation, and forecasting."
41-4011.00,"Sales Representatives, Wholesale and Manufacturing",Sell goods and services requiring substantial technical or commercial knowledge.
11-2022.00,Sales Managers,"Plan, direct, or coordinate sales distribution, targets, and client management."
13-1161.00,Market Research Analysts and Marketing Specialists,"Research market conditions, customer trends, and competitor analytics."
13-1161.01,Search Marketing Strategists,Employ search marketing tactics to increase visibility and customer engagement.
