Role,Category,Skill,Importance
Sales Executive,Software,Salesforce,5
Sales Executive,Software,HubSpot,4
Sales Executive,Software,LinkedIn Sales Navigator,4
Account Manager,Software,Salesforce,5
Account Manager,Software,Gainsight,4
Account Manager,Software,Zendesk,4
Software Engineer,Software,Python,5
Software Engineer,Software,Docker,5
Software Engineer,Software,Kubernetes,4
Software Engineer,Software,AWS,5
Software Engineer,Software,Git,5
Developer,Software,JavaScript / TypeScript,5
Developer,Software,React,4
Developer,Software,Node.js,4
Developer,Software,PostgreSQL,5
Engineer,Software,Linux,5
Engineer,Software,AWS,5
Engineer,Software,Terraform,4
Data Analyst,Software,Python,5
Data Analyst,Software,SQL,5
Data Analyst,Software,PowerBI,4
Data Analyst,Software,Tableau,4
Data Analyst,Software,Excel,4
Cybersecurity Specialist,Software,Wireshark,5
Cybersecurity Specialist,Software,Splunk,5
Cybersecurity Specialist,Software,Nmap,4
Cybersecurity Specialist,Software,SIEM Tools,4
HR Manager,Software,Workday,5
HR Manager,Software,BambooHR,4
HR Manager,Software,Excel,4
HR Executive,Software,Workday,4
HR Executive,Software,Excel,5
Recruitment Specialist,Software,Greenhouse,5
Recruitment Specialist,Software,Lever,4
Recruitment Specialist,Software,LinkedIn Recruiter,5
Employee Relations,Software,ServiceNow HR,4
Employee Relations,Software,Excel,4
Accountant,Software,QuickBooks,5
Accountant,Software,SAP Financials,5
Accountant,Software,Excel,5
Auditor,Software,ACL Analytics,4
Auditor,Software,SAP,5
Auditor,Software,Excel,5
Financial Analyst,Software,Excel,5
Financial Analyst,Software,Tableau,4
Financial Analyst,Software,SQL,4
Financial Analyst,Software,PowerBI,4
SEO Specialist,Software,Google Analytics,5
SEO Specialist,Software,Ahrefs,5
SEO Specialist,Software,SEMrush,4
SEO Analyst,Software,Google Search Console,5
SEO Analyst,Software,Screaming Frog,4
Content Strategist,Software,WordPress,4
Content Strategist,Software,Notion,4
Content Strategist,Software,Canva,3
Content Lead,Software,Figma,4
Content Lead,Software,Adobe Creative Cloud,4
Marketing Executive,Software,Mailchimp,4
Marketing Executive,Software,Google Ads,5
Marketing Executive,Software,Meta Ads Manager,4
Helpdesk,Software,Jira Service Desk,5
Helpdesk,Software,Zendesk,5
Support Engineer,Software,Jira,5
Support Engineer,Software,Postman,4
Support Engineer,Software,Splunk,4
Business Development,Software,Salesforce,5
Business Development,Software,ZoomInfo,4
Tester,Software,Selenium,5
Tester,Software,Jira,5
Tester,Software,Postman,4
Tester,Software,PyTest,4
